Groom_ID,Income,Land,EmploymentType,Profession,Dahej
G0179,35725,7.97,Private,Other,1951250
G0180,109269,1.15,Government,Engineer,2116304
G0181,56336,4.21,Private,Other,1405360
G0182,53228,8.87,Government,Engineer,3690047
G0183,74090,2.82,Private,Businessman,1304900
G0184,24175,8.89,Government,Businessman,2827650
G0185,84564,2.35,Private,CA,1512985
G0186,90677,5.84,Private,Doctor,2697201
G0187,120235,1.97,Government,Doctor,2713795
G0188,81320,5.14,Private,Engineer,2209440
G0189,106212,5.05,Government,Other,2900968
G0190,35595,3.13,Private,Engineer,1178340
G0191,101818,4.55,Government,Teacher,2699452
G0192,116604,2.03,Private,CA,1807845
G0193,30837,4.88,Government,Teacher,1798118
G0194,63294,5.72,Government,CA,2754256
G0195,72784,3.51,Government,Doctor,2430728
G0196,141857,1.16,Government,Engineer,2640912
G0197,51342,5.44,Private,Businessman,1601420
G0198,51821,0.87,Private,Doctor,899873
G0199,29128,4.16,Government,CA,1741083
G0200,68858,3.68,Government,Engineer,2279328
G0201,143386,2.75,Government,Teacher,2777404
G0202,128414,4.08,Private,Businessman,2100140
G0203,134308,0.17,Government,Teacher,1927911
G0204,96594,3.64,Government,Engineer,2710304
G0205,62565,9.86,Government,Teacher,3636710
G0206,114018,9.11,Private,Teacher,2962180
G0207,131694,8.39,Government,Other,4192915
G0208,137406,8.04,Private,Engineer,3578472
G0209,146645,5.18,Private,Engineer,3002940
G0210,125373,0.01,Government,Businessman,1758022
G0211,28517,4.86,Private,Teacher,1257170
G0212,113259,3.31,Private,Other,1794590
G0213,58550,7.83,Private,Businessman,2151500
G0214,68502,3.42,Government,Teacher,1916627
G0215,134993,2.68,Government,Doctor,3206081
G0216,135692,2.05,Private,CA,2031957
G0217,27064,3.59,Government,Teacher,1384096
G0218,111469,1.84,Government,Lawyer,2224035
G0219,146142,0.69,Government,CA,2479100
G0220,75822,8.52,Private,Lawyer,2708442
G0221,51348,4.33,Private,Other,1379480
G0222,119930,5.11,Private,Doctor,2887690
G0223,121101,2.88,Private,Other,1787010
G0224,54868,6.25,Government,CA,2787953
G0225,22010,5.94,Government,Teacher,1971339
G0226,141772,8.82,Government,Doctor,5408924
G0227,101534,8.54,Government,CA,4221176
G0228,77723,8.42,Private,Doctor,3199599
G0229,55368,1.14,Government,Teacher,1094352
G0230,89441,6.87,Government,Teacher,3175774
G0231,103063,0.63,Private,Lawyer,1272293
G0232,129198,2.07,Government,CA,2644268
G0233,25349,8.49,Government,Businessman,2732086
G0234,101148,9.01,Government,Doctor,4782916
G0235,84160,6.6,Government,Businessman,3026240
G0236,133105,5.01,Private,Lawyer,2566355
G0237,77525,2.04,Private,Doctor,1538225
G0238,126655,2.7,Private,Other,1806550
G0239,124708,5.42,Private,CA,2680742
G0240,56843,0.35,Government,Engineer,1021487
G0241,143911,6.97,Private,Engineer,3399732
G0242,66248,7.54,Private,Other,2170480
G0243,52096,9.29,Private,Businessman,2378960
G0244,133509,2.37,Government,Engineer,2894543
G0245,119155,9.53,Government,Teacher,4336570
G0246,146970,7.07,Government,CA,4469734
G0247,85006,7.83,Private,Businessman,2416060
G0248,88841,2.81,Government,CA,2248135
G0249,62999,8.69,Government,Engineer,3788783
G0250,32062,8.34,Government,Engineer,3181791
G0251,89177,8.5,Government,Businessman,3628478
G0252,48468,3.61,Private,Businessman,1206680
G0253,133584,7.0,Government,Doctor,4650928
G0254,40836,6.21,Government,CA,2558057
G0255,31256,5.58,Government,CA,2214267
G0256,123499,6.18,Private,Doctor,3212287
G0257,51400,4.46,Private,Businessman,1406000
G0258,139338,9.66,Private,Other,3325380
G0259,62778,7.16,Private,Other,2059780
G0260,90643,2.7,Private,Lawyer,1591073
G0261,136363,9.13,Private,Engineer,3827556
G0262,57306,1.52,Private,Lawyer,964766
G0263,41393,2.46,Government,Engineer,1449487
G0264,47855,3.5,Government,Engineer,1885679
G0265,58001,1.36,Government,Other,1192814
G0266,59165,1.5,Government,Doctor,1515805
G0267,142481,8.91,Private,Businessman,3206810
G0268,67627,1.78,Government,Businessman,1445178
G0269,94126,0.72,Private,Teacher,1085260
G0270,85434,5.69,Government,Businessman,2789276
G0271,105438,6.23,Private,Teacher,2300380
G0272,138763,0.08,Government,Doctor,2386171
G0273,36721,8.01,Government,CA,3052275
G0274,42702,7.71,Private,Businessman,1969020
G0275,142130,1.21,Government,Teacher,2328620
G0276,30178,7.48,Government,Other,2516892
G0277,62453,6.48,Government,Businessman,2688742
G0278,52859,9.01,Private,Businessman,2330590
G0279,126452,1.1,Government,Other,2078327
G0280,46382,6.63,Government,Teacher,2505748
G0281,64599,6.61,Government,Lawyer,2951985
G0282,135716,3.07,Government,Lawyer,2956740
G0283,56507,0.52,Government,Businessman,936697
G0284,58326,4.56,Private,Lawyer,1644786
G0285,79294,6.91,Government,Other,3044916
G0286,30496,3.84,Government,Other,1502144
G0287,123473,4.66,Government,Teacher,3033422
G0288,38479,4.15,Private,Lawyer,1336269
G0289,75442,2.61,Government,CA,1978450
G0290,130247,7.91,Private,Other,2884470
G0291,27633,8.12,Private,CA,2185379
G0292,109532,0.46,Private,Engineer,1424784
G0293,51794,2.11,Government,Other,1315916
G0294,112603,1.97,Private,Other,1520030
G0295,93634,3.23,Private,Lawyer,1740574
G0296,101305,1.97,Government,Lawyer,2110575
G0297,22520,0.24,Government,Teacher,382480
G0298,34705,3.96,Private,Lawyer,1252955
G0299,51885,4.21,Private,CA,1564977
G0300,129308,9.1,Private,Engineer,3735696
G0301,87467,4.84,Private,Teacher,1842670
G0302,57799,1.75,Private,Engineer,1113588
G0303,130537,5.61,Private,Other,2427370
G0304,146600,3.92,Private,Lawyer,2475000
G0305,33576,9.13,Private,CA,2486024
G0306,30215,0.72,Private,Doctor,579995
G0307,149657,9.33,Private,Other,3362570
G0308,70974,3.11,Private,Engineer,1598088
G0309,108036,6.6,Private,Engineer,2880432
G0310,132727,7.66,Private,Teacher,2859270
G0311,118891,1.19,Private,CA,1640946
G0312,32425,7.57,Private,CA,2113987
G0313,26683,7.86,Private,CA,2114654
G0314,142390,3.19,Government,Teacher,2886660
G0315,141068,3.65,Private,Other,2140680
G0316,110668,0.13,Government,Doctor,1925556
G0317,20489,1.39,Government,Businessman,676046
G0318,125753,9.24,Private,Engineer,3726636
G0319,82354,0.68,Private,CA,1103471
G0320,27328,0.51,Private,Engineer,450336
G0321,100477,7.89,Private,Businessman,2582770
G0322,52509,8.26,Government,Other,3047926
G0323,47746,0.05,Private,Engineer,584952
G0324,67793,8.78,Government,Lawyer,3650895
G0325,61647,3.93,Private,Engineer,1682964
G0326,20525,5.41,Private,Teacher,1287250
G0327,53090,2.68,Private,Engineer,1280280
G0328,142224,9.59,Government,Other,4676336
G0329,30676,8.74,Government,Engineer,3287615
G0330,101701,1.25,Private,Teacher,1267010
G0331,115302,2.32,Government,Teacher,2263828
G0332,141658,4.04,Private,Engineer,2669496
G0333,81728,6.35,Private,Other,2087280
G0334,62444,1.35,Private,Lawyer,983884
G0335,48130,5.28,Private,Other,1537300
G0336,93375,0.28,Private,Doctor,1286675
G0337,119437,8.93,Private,Engineer,3576444
G0338,139196,5.91,Government,Teacher,3603544
G0339,33928,3.12,Private,Engineer,1155936
G0340,83431,4.99,Private,CA,2107156
G0341,146014,6.79,Private,Other,2818140
G0342,99671,4.15,Government,Lawyer,2740065
G0343,135585,2.02,Private,Lawyer,1935835
G0344,87114,3.17,Government,Teacher,2107196
G0345,114687,4.4,Private,CA,2330900
G0346,127117,8.2,Government,Other,4075637
G0347,59174,3.88,Government,Other,1914835
G0348,119268,3.06,Private,Lawyer,1985148
G0349,117476,8.26,Government,Lawyer,4240140
G0350,142183,0.86,Government,Businessman,2231362
G0351,113700,9.18,Private,Lawyer,3270300
G0352,61747,0.9,Private,Doctor,1036711
G0353,123456,0.23,Private,Businessman,1280560
G0354,117456,5.76,Private,Engineer,2791872
G0355,136711,4.76,Private,Doctor,3014843
G0356,28616,6.66,Private,Engineer,1941792
G0357,37331,8.75,Private,Teacher,2123310
G0358,43044,2.79,Private,Engineer,1186128
G0359,93081,2.29,Government,Doctor,2360977
G0360,75687,6.61,Private,Doctor,2702531
G0361,135484,5.79,Government,Engineer,4020543
G0362,78475,5.23,Private,Engineer,2196900
G0363,34816,1.04,Private,Businessman,556160
G0364,30396,4.8,Private,CA,1453554
G0365,47982,3.09,Government,Lawyer,1646730
G0366,144217,3.17,Government,Doctor,3529489
G0367,108819,2.48,Private,Other,1584190
G0368,126459,2.88,Government,Other,2576826
G0369,50198,2.07,Government,Doctor,1557166
G0370,64379,8.21,Government,Doctor,3885843
G0371,110520,4.41,Private,CA,2285280
G0372,44926,0.61,Private,Doctor,742638
G0373,114428,6.06,Government,Businessman,3298792
G0374,39901,4.38,Government,Other,1785014
G0375,146027,5.11,Private,CA,2854610
G0376,133919,8.13,Private,Doctor,3854747
G0377,64879,6.36,Government,Businessman,2689106
G0378,98419,1.02,Private,Lawyer,1307009
G0379,76311,9.91,Private,Teacher,2745110
G0380,134242,4.98,Government,Lawyer,3507630
G0381,108564,2.59,Private,Lawyer,1764004
G0382,36615,1.58,Government,Businessman,955009
G0383,20327,5.35,Government,Other,1782578
G0384,41473,1.99,Private,Businessman,812730
G0385,120084,1.24,Government,Teacher,2028375
G0386,59384,2.16,Government,Doctor,1743928
G0387,73566,9.82,Government,Engineer,4319456
G0388,141649,9.14,Government,Other,4542286
G0389,45477,6.01,Private,Engineer,1988124
G0390,141865,1.56,Private,CA,1990247
G0391,72438,1.62,Private,Teacher,1048380
G0392,96414,9.7,Private,Businessman,2904140
G0393,50314,9.92,Private,Other,2487140
G0394,109061,3.91,Government,Other,2621654
G0395,104955,6.78,Government,Other,3367770
G0396,93133,2.45,Government,Businessman,1989861
G0397,112000,3.73,Government,Doctor,3172200
G0398,33842,5.13,Government,Lawyer,2046630
G0399,131505,9.63,Government,Other,4537470
G0400,93502,5.49,Private,Other,2033020
G0401,72516,1.09,Government,Engineer,1509055
G0402,104313,5.41,Private,Lawyer,2337643
G0403,137282,0.36,Government,CA,2239470
G0404,108584,2.69,Private,Engineer,1948608
G0405,122326,6.58,Government,Engineer,4062815
G0406,27576,4.06,Private,Teacher,1087760
G0407,76883,1.61,Private,CA,1254454
G0408,30857,8.86,Private,Doctor,2704741
G0409,66055,5.93,Private,Doctor,2400515
G0410,35577,7.72,Government,Engineer,3039631
G0411,63886,1.36,Private,Other,910860
G0412,48344,7.05,Government,Engineer,3029503
G0413,69910,4.71,Government,Engineer,2625760
G0414,117085,3.22,Private,Other,1814850
G0415,26050,2.2,Government,Lawyer,1050750
G0416,114646,4.65,Private,Teacher,2076460
G0417,116914,3.04,Private,Teacher,1777140
G0418,46431,9.87,Government,Other,3413634
G0419,123518,8.8,Private,Businessman,2995180
G0420,84035,9.15,Government,Lawyer,4005525
G0421,108887,7.35,Government,CA,3966248
G0422,101987,9.62,Private,Teacher,2943870
G0423,77871,8.57,Government,Engineer,3988335
G0424,96475,5.65,Private,Other,2094750
G0425,102646,0.67,Private,Other,1160460
G0426,74612,1.61,Private,Teacher,1068120
G0427,105441,0.31,Government,Doctor,1897897
G0428,119947,7.11,Private,Teacher,2621470
G0429,25160,7.65,Government,Other,2494240
G0430,39451,2.09,Government,Engineer,1300016
G0431,120352,3.63,Government,Teacher,2701328
G0432,90921,1.42,Private,Doctor,1551173
G0433,86495,3.51,Government,Lawyer,2350425
G0434,146109,8.89,Government,Engineer,5182544
G0435,25439,7.41,Private,Doctor,2257307
G0436,121059,3.51,Private,Lawyer,2103849
G0437,99232,1.03,Private,Other,1198320
G0438,108219,7.68,Private,Businessman,2618190
G0439,70975,7.8,Government,Doctor,3858575
G0440,40986,4.95,Government,Engineer,2239776
G0441,144287,2.66,Private,Engineer,2369844
G0442,106298,4.56,Private,Other,1974980
G0443,130021,4.77,Private,Teacher,2254210
G0444,60087,3.99,Government,Other,1958417
G0445,30412,5.59,Government,Teacher,1990967
G0446,68715,6.43,Government,Doctor,3354355
G0447,97523,0.18,Government,CA,1567406
G0448,127288,5.93,Government,Doctor,4180096
G0449,55736,7.4,Government,Businessman,2852304
G0450,102670,2.65,Private,Lawyer,1712370
G0451,28873,2.51,Private,Lawyer,869803
G0452,72560,9.65,Private,Teacher,2655600
G0453,46034,9.44,Government,Teacher,3287676
G0454,21799,0.55,Private,Teacher,327990
G0455,46879,4.11,Government,Other,1807106
G0456,119844,7.87,Government,Lawyer,4158660
G0457,133188,7.48,Private,Businessman,2827880
G0458,58513,0.88,Government,CA,1179751
G0459,37460,0.92,Government,Other,782040
G0460,145243,6.61,Government,Teacher,3884201
G0461,50063,5.92,Government,Engineer,2695408
G0462,136858,7.08,Government,CA,4316098
G0463,111801,7.52,Government,Businessman,3670813
G0464,124733,9.86,Private,CA,3702229
G0465,131159,4.81,Private,Teacher,2273590
G0466,52472,6.29,Government,Doctor,3030624
G0467,118092,3.83,Government,Doctor,3309764
G0468,81265,2.83,Private,Businessman,1378650
G0469,37665,1.65,Private,CA,812647
G0470,129831,6.61,Private,Engineer,3144372
G0471,25866,0.64,Government,Businessman,541324
G0472,43147,6.4,Government,Engineer,2738352
G0473,40444,9.89,Government,Lawyer,3573660
G0474,118814,5.76,Private,Doctor,3042182
G0475,83099,4.78,Private,Doctor,2323087
G0476,48978,4.88,Private,Businessman,1465780
G0477,91270,3.56,Private,Teacher,1624700
G0478,130893,5.25,Government,Lawyer,3538395
G0479,90783,7.52,Government,CA,3738336
G0480,106699,9.67,Government,Lawyer,4501485
G0481,131159,4.84,Private,CA,2621528
G0482,47153,4.53,Private,Businessman,1377530
G0483,87725,2.14,Private,Businessman,1305250
G0484,106710,7.53,Private,Businessman,2573100
G0485,85267,4.97,Government,CA,2862338
G0486,49194,8.75,Government,Businessman,3138716
G0487,22612,6.13,Private,Lawyer,1597332
G0488,56706,7.75,Private,Teacher,2117060
G0489,122084,6.43,Government,Engineer,4010943
G0490,90886,8.22,Private,Engineer,3063432
G0491,146819,0.57,Private,Lawyer,1740409
G0492,84848,4.06,Private,Lawyer,1826528
G0493,27868,7.16,Private,Doctor,2223884
G0494,62345,2.74,Government,Engineer,1874319
G0495,51345,8.52,Government,Businessman,3104430
G0496,141779,5.25,Private,Doctor,3208127
G0497,41726,0.59,Government,Teacher,749364
G0498,63659,7.65,Private,Lawyer,2383249
G0499,55653,7.37,Government,Businessman,2842742
G0500,42452,8.47,Government,Doctor,3601484
G0501,74083,8.57,Government,Engineer,3927727
G0502,127875,7.82,Government,Businessman,3979849
G0503,24318,5.61,Private,Engineer,1638216
G0504,100770,1.79,Private,Businessman,1365700
G0505,93270,0.41,Private,Businessman,1014700
G0506,79207,2.96,Private,Doctor,1799291
G0507,53282,7.8,Private,Engineer,2511384
G0508,60322,1.63,Government,Lawyer,1393830
G0509,65001,9.0,Government,Teacher,3430014
G0510,53592,6.72,Private,Other,1879920
G0511,69145,4.87,Government,Teacher,2331630
G0512,78100,3.8,Private,Lawyer,1695100
G0513,141432,6.23,Government,Businessman,3724447
G0514,136875,2.9,Private,Doctor,2533375
G0515,108537,2.59,Private,Teacher,1603370
G0516,104332,2.06,Government,CA,2255745
G0517,139764,9.86,Government,CA,5222941
G0518,49699,1.36,Government,Other,1076586
G0519,136984,2.19,Government,Businessman,2530976
G0520,65839,7.23,Government,Lawyer,3156585
G0521,132339,5.78,Government,Teacher,3471146
G0522,96089,1.21,Government,Engineer,1924623
G0523,95234,2.67,Private,Businessman,1486340
G0524,126622,3.5,Private,Engineer,2359464
G0525,52792,8.27,Private,Lawyer,2400112
G0526,52506,6.23,Private,Other,1771060
G0527,57553,1.49,Private,Businessman,873530
G0528,123081,7.21,Government,Teacher,3741933
G0529,96431,0.11,Government,Businessman,1380834
G0530,91724,7.96,Government,Lawyer,3763860
G0531,113446,4.79,Government,Doctor,3557182
G0532,104341,0.38,Government,Lawyer,1679115
G0533,26425,8.05,Private,Other,1874250
G0534,38899,5.52,Private,Teacher,1492990
G0535,57986,5.85,Government,Other,2449804
G0536,104707,8.43,Government,Other,3826297
G0537,144502,2.18,Government,Businessman,2633428
G0538,69292,3.24,Government,CA,2078425
G0539,141267,0.95,Government,Teacher,2243738
G0540,109067,2.57,Private,Businessman,1604670
G0541,135577,3.01,Private,Teacher,1957770
G0542,117141,7.37,Private,CA,3042221
G0543,116753,8.37,Private,Teacher,2841530
G0544,79026,6.6,Private,Doctor,2743338
G0545,106288,0.0,Private,Businessman,1062880
G0546,55653,0.13,Private,Lawyer,640783
G0547,72827,4.14,Private,Lawyer,1711897
G0548,148532,9.15,Government,Teacher,4641448
G0549,35819,4.25,Government,CA,1872694
G0550,110813,2.95,Private,Other,1698130
G0551,52522,6.72,Private,Doctor,2429986
G0552,62190,6.67,Private,Lawyer,2151490
G0553,130822,4.08,Government,CA,3292540
G0554,102204,5.0,Private,Engineer,2426448
G0555,132915,8.05,Government,Lawyer,4408725
G0556,124049,6.09,Government,Lawyer,3687735
G0557,117910,8.78,Government,Doctor,4989670
G0558,82951,8.7,Private,Lawyer,2826461
G0559,93451,2.45,Private,Businessman,1424510
G0560,86232,4.89,Private,Engineer,2208384
G0561,82598,8.89,Private,Engineer,3124776
G0562,49631,9.11,Government,Teacher,3245634
G0563,144327,3.78,Government,CA,3408868
G0564,63920,3.73,Government,Other,1939279
G0565,118855,1.54,Government,Other,2095169
G0566,72971,6.51,Government,CA,3149150
G0567,118838,0.54,Government,Businessman,1814932
G0568,97691,8.9,Private,Teacher,2756910
G0569,112104,8.87,Private,Other,2895040
G0570,39755,3.17,Government,Engineer,1650479
G0571,61559,3.03,Government,Businessman,1710226
G0572,116526,4.02,Government,Other,2756964
G0573,141045,4.94,Government,Other,3357830
G0574,125231,4.98,Private,Businessman,2248310
G0575,34127,2.23,Government,Teacher,1102178
G0576,21190,4.38,Private,Lawyer,1196690
G0577,91819,9.75,Government,CA,4445694
G0578,68348,3.2,Private,Teacher,1323480
G0579,34498,2.26,Private,CA,916526
G0580,23380,3.91,Government,CA,1574489
G0581,93293,9.21,Government,Doctor,4717381
G0582,45998,8.01,Private,CA,2371277
G0583,134870,9.45,Government,Teacher,4534180
G0584,97514,5.95,Government,CA,3355966
G0585,137636,3.46,Government,Doctor,3516212
G0586,90303,1.91,Government,Engineer,2056047
G0587,52627,7.05,Government,Teacher,2710778
G0588,91803,9.9,Private,CA,3332734
G0589,96613,2.6,Private,Teacher,1486130
G0590,147806,8.77,Government,CA,5009692
G0591,139037,2.77,Government,Engineer,3110991
G0592,146638,7.33,Government,Doctor,4985046
G0593,125191,5.18,Private,Engineer,2745492
G0594,138892,8.8,Government,Doctor,5353164
G0595,24502,1.19,Government,Businessman,676228
G0596,20977,0.29,Government,Other,374878
G0597,50585,3.97,Government,CA,2014767
G0598,90230,2.15,Government,Businessman,1865219
G0599,141758,2.53,Government,Businessman,2693012
G0600,112515,4.21,Government,Businessman,2754010
G0601,79635,9.73,Government,CA,4250642
G0602,31611,8.41,Private,Lawyer,2197921
G0603,147586,2.6,Government,Businessman,2794204
G0604,59505,6.88,Private,Doctor,2562365
G0605,51783,9.1,Government,Teacher,3272962
G0606,52656,6.31,Private,Engineer,2146272
G0607,114174,4.86,Government,Lawyer,3170610
G0608,46805,5.87,Private,Other,1642050
G0609,89022,5.67,Government,Businessman,2833908
G0610,42039,3.01,Private,Doctor,1329107
G0611,140524,1.5,Private,Teacher,1705240
G0612,71618,3.92,Government,Businessman,2100252
G0613,27115,3.51,Government,CA,1508382
G0614,76453,4.66,Private,CA,1951009
G0615,55947,3.57,Government,Lawyer,1910205
G0616,90326,3.18,Government,Businessman,2154964
G0617,74015,5.47,Government,Engineer,2934639
G0618,47512,7.06,Private,Engineer,2264544
G0619,109944,8.94,Government,CA,4475531
